cod	c02	c04	tent	tsal	aceite	fecha
1416	37.06	34.88	23.19	23.19	24.31	2014-05-30 09:33:25
1417	38.25	36.19	23.13	23.19	24.31	2014-05-30 09:34:25
1418	39.38	37.5	23.19	23.19	24.31	2014-05-30 09:35:25
1419	40.31	38.56	23.19	23.25	24.31	2014-05-30 09:36:25
1420	40.94	39.31	23.19	23.19	24.31	2014-05-30 09:37:25
1421	41.44	39.81	23.19	23.19	24.31	2014-05-30 09:38:25
1422	41.81	40.19	23.19	23.19	24.31	2014-05-30 09:39:26
1423	42.06	40.5	23.19	23.25	24.38	2014-05-30 09:40:26
1424	42.31	40.63	23.19	23.25	24.31	2014-05-30 09:41:26
1425	42.5	40.81	23.25	23.25	24.31	2014-05-30 09:42:26
1426	42.69	40.88	23.25	23.25	24.31	2014-05-30 09:43:26
1427	42.75	40.94	23.25	23.31	24.38	2014-05-30 09:44:26
1428	42.81	41	23.25	23.31	24.31	2014-05-30 09:45:27
1429	42.94	41.13	23.25	23.31	24.38	2014-05-30 09:46:27
1430	42.94	41.13	23.25	23.38	24.31	2014-05-30 09:47:27
1431	43	41.19	23.31	23.38	24.38	2014-05-30 09:48:27
1432	43.06	41.19	23.31	23.38	24.38	2014-05-30 09:49:27
1433	43.19	41.31	23.31	23.38	24.38	2014-05-30 09:50:27
1434	43.25	41.38	23.31	23.38	24.38	2014-05-30 09:51:27
1435	43.38	41.44	23.31	23.44	24.38	2014-05-30 09:52:28
1436	43.38	41.5	23.31	23.44	24.31	2014-05-30 09:53:28
1437	43.5	41.5	23.31	23.44	24.38	2014-05-30 09:54:28
1438	43.56	41.5	23.31	23.44	24.38	2014-05-30 09:55:28
1439	43.63	41.56	23.38	23.44	24.38	2014-05-30 09:56:28
1440	43.69	41.56	23.38	23.5	24.38	2014-05-30 09:57:28
1441	43.75	41.69	23.38	23.44	24.38	2014-05-30 09:58:28
1442	43.75	41.69	23.38	23.5	24.38	2014-05-30 09:59:29
1443	43.88	41.75	23.44	23.5	24.38	2014-05-30 10:00:29
1444	43.94	41.88	23.44	23.56	24.38	2014-05-30 10:01:29
1445	44	41.94	23.44	23.56	24.38	2014-05-30 10:02:29
1446	44.06	42	23.44	23.56	24.38	2014-05-30 10:03:29
1447	44.13	42.13	23.5	23.56	24.38	2014-05-30 10:04:29
1448	44.19	42.13	23.5	23.56	24.38	2014-05-30 10:05:29
1449	44.31	42.19	23.5	23.56	24.44	2014-05-30 10:06:29
1450	44.31	42.19	23.5	23.63	24.44	2014-05-30 10:07:30
1451	44.38	42.25	23.5	23.63	24.38	2014-05-30 10:08:30
1452	44.44	42.31	23.56	23.63	24.44	2014-05-30 10:09:30
1453	44.44	42.38	23.56	23.63	24.44	2014-05-30 10:10:30
1454	44.5	42.44	23.56	23.63	24.44	2014-05-30 10:11:30
1455	44.56	42.44	23.56	23.69	24.44	2014-05-30 10:12:30
1456	44.63	42.56	23.56	23.69	24.44	2014-05-30 10:13:30
1457	44.63	42.56	23.56	23.69	24.44	2014-05-30 10:14:31
1458	44.69	42.63	23.56	23.69	24.44	2014-05-30 10:15:31
1459	44.75	42.69	23.56	23.63	24.44	2014-05-30 10:16:31
1460	44.81	42.69	23.56	23.69	24.44	2014-05-30 10:17:31
1461	44.88	42.75	23.56	23.69	24.44	2014-05-30 10:18:31
1462	44.94	42.81	23.63	23.69	24.44	2014-05-30 10:19:31
1463	44.94	42.81	23.63	23.69	24.44	2014-05-30 10:20:31
1464	45	42.94	23.63	23.69	24.44	2014-05-30 10:21:31
1465	45.06	42.94	23.63	23.69	24.44	2014-05-30 10:22:31
1466	45.19	43	23.63	23.75	24.44	2014-05-30 10:23:32
1467	45.25	43	23.69	23.75	24.44	2014-05-30 10:24:32
1468	45.25	43.06	23.69	23.75	24.5	2014-05-30 10:25:32
1469	45.31	43.13	23.69	23.75	24.5	2014-05-30 10:26:32
1470	45.31	43.13	23.69	23.75	24.44	2014-05-30 10:27:32
1471	45.38	43.19	23.75	23.75	24.5	2014-05-30 10:28:32
1472	45.44	43.25	23.75	23.75	24.5	2014-05-30 10:29:32
1473	45.5	43.31	23.69	23.81	24.5	2014-05-30 10:30:33
1474	45.56	43.31	23.69	23.81	24.5	2014-05-30 10:31:33
1475	45.56	43.38	23.69	23.81	24.5	2014-05-30 10:32:33
1476	45.63	43.44	23.69	23.88	24.5	2014-05-30 10:33:33
1477	45.69	43.44	23.69	23.88	24.56	2014-05-30 10:34:33
1478	45.69	43.5	23.75	23.88	24.5	2014-05-30 10:35:33
1479	45.75	43.56	23.75	23.81	24.56	2014-05-30 10:36:33
1480	45.75	43.63	23.75	23.88	24.5	2014-05-30 10:37:34
1481	45.81	43.56	23.75	23.81	24.56	2014-05-30 10:38:34
1482	45.81	43.63	23.75	23.81	24.56	2014-05-30 10:39:34
1483	45.88	43.69	23.75	23.81	24.56	2014-05-30 10:40:34
1484	45.88	43.69	23.75	23.88	24.56	2014-05-30 10:41:34
1485	45.94	43.75	23.75	23.81	24.56	2014-05-30 10:42:34
1486	45.94	43.75	23.75	23.88	24.56	2014-05-30 10:43:34
1487	46	43.75	23.81	23.88	24.56	2014-05-30 10:44:34
1488	46.06	43.75	23.75	23.94	24.63	2014-05-30 10:45:34
1489	46.13	43.81	23.75	23.94	24.56	2014-05-30 10:46:35
1490	46.19	43.88	23.75	23.94	24.63	2014-05-30 10:47:35
1491	46.19	43.88	23.81	23.94	24.56	2014-05-30 10:48:35
1492	46.25	43.94	23.81	23.94	24.63	2014-05-30 10:49:35
1493	46.25	44	23.81	23.88	24.63	2014-05-30 10:50:35
1494	46.25	44	23.88	24	24.63	2014-05-30 10:51:35
1495	46.25	44	23.81	24	24.63	2014-05-30 10:52:35
1496	46.31	44	23.88	24	24.63	2014-05-30 10:53:36
1497	46.38	44.06	23.81	24	24.63	2014-05-30 10:54:36
1498	46.44	44.13	23.88	23.94	24.63	2014-05-30 10:55:36
1499	46.44	44.19	23.88	23.94	24.63	2014-05-30 10:56:36
1500	46.5	44.19	23.88	23.94	24.63	2014-05-30 10:57:36
1501	46.5	44.19	23.88	24	24.69	2014-05-30 10:58:36
1502	46.5	44.19	23.88	24.06	24.69	2014-05-30 10:59:36
1503	46.5	44.19	23.88	24	24.69	2014-05-30 11:00:37
1504	46.56	44.19	23.88	24	24.69	2014-05-30 11:01:37
1505	46.63	44.25	23.81	24	24.69	2014-05-30 11:02:37
1506	46.63	44.31	23.88	24	24.69	2014-05-30 11:03:37
1507	46.63	44.38	23.88	24.06	24.69	2014-05-30 11:04:37
1508	46.69	44.38	23.88	24.06	24.69	2014-05-30 11:05:37
1509	46.69	44.44	23.88	24	24.75	2014-05-30 11:06:38
1510	46.75	44.5	23.94	24	24.69	2014-05-30 11:07:38
1511	46.75	44.5	23.88	24	24.75	2014-05-30 11:08:38
1512	46.81	44.5	23.88	24	24.75	2014-05-30 11:09:38
1513	46.81	44.5	23.94	24	24.75	2014-05-30 11:10:38
1514	46.81	44.5	23.94	24.06	24.75	2014-05-30 11:11:38
1515	46.81	44.5	24	24.13	24.75	2014-05-30 11:12:38
1516	46.88	44.56	24	24.19	24.75	2014-05-30 11:13:39
1517	46.88	44.63	24.06	24.25	24.75	2014-05-30 11:14:39
1518	46.94	44.63	24.06	24.25	24.75	2014-05-30 11:15:39
1519	46.94	44.69	24	24.19	24.81	2014-05-30 11:16:39
1520	47	44.75	24.06	24.13	24.81	2014-05-30 11:17:39
1521	47	44.75	24	24.13	24.81	2014-05-30 11:18:39
1522	47	44.75	24.06	24.19	24.81	2014-05-30 11:19:39
1523	47.06	44.69	24.06	24.25	24.81	2014-05-30 11:20:40
1524	47.06	44.75	24.06	24.25	24.81	2014-05-30 11:21:40
1525	47.13	44.81	24.06	24.25	24.81	2014-05-30 11:22:40
1526	47.13	44.88	24.13	24.25	24.81	2014-05-30 11:23:40
1527	47.13	44.88	24.13	24.25	24.88	2014-05-30 11:24:40
1528	47.13	44.94	24.13	24.25	24.88	2014-05-30 11:25:40
1529	47.13	44.94	24.13	24.19	24.88	2014-05-30 11:26:41
1530	47.13	45	24.13	24.19	24.88	2014-05-30 11:27:41
1531	47.19	45	24.13	24.19	24.88	2014-05-30 11:28:41
1532	47.19	45	24.13	24.25	24.88	2014-05-30 11:29:41
1533	47.25	45.06	24.13	24.25	24.88	2014-05-30 11:30:41
1534	47.25	45.06	24.13	24.25	24.88	2014-05-30 11:31:41
1535	47.25	45.06	24.06	24.25	24.88	2014-05-30 11:32:42
1536	47.31	45.06	24.06	24.25	24.94	2014-05-30 11:33:42
1537	47.38	45.13	24.06	24.25	24.94	2014-05-30 11:34:42
1538	47.38	45.13	24.06	24.19	24.94	2014-05-30 11:35:42
1539	47.38	45.13	24.13	24.19	24.94	2014-05-30 11:36:42
1540	47.38	45.19	24.13	24.25	24.94	2014-05-30 11:37:42
1541	47.44	45.19	24.06	24.25	24.94	2014-05-30 11:38:43
1542	47.44	45.19	24.13	24.19	24.94	2014-05-30 11:39:43
1543	47.44	45.25	24.06	24.19	25	2014-05-30 11:40:43
1544	47.44	45.25	24.19	24.25	25	2014-05-30 11:41:43
1545	47.44	45.25	24.13	24.25	25	2014-05-30 11:42:43
1546	47.5	45.31	24.13	24.25	25	2014-05-30 11:43:43
1547	47.56	45.31	24.19	24.31	25	2014-05-30 11:44:44
1548	47.63	45.31	24.13	24.25	25	2014-05-30 11:45:44
1549	47.63	45.31	24.13	24.25	25	2014-05-30 11:46:44
1550	47.56	45.31	24.13	24.19	25	2014-05-30 11:47:44
1551	47.63	45.31	24.06	24.19	25.06	2014-05-30 11:48:44
1552	47.63	45.31	24.13	24.25	25.06	2014-05-30 11:49:44
1553	47.63	45.38	24.06	24.25	25.06	2014-05-30 11:50:44
1554	47.63	45.38	24.06	24.25	25.06	2014-05-30 11:51:44
1555	47.63	45.38	24.06	24.19	25.06	2014-05-30 11:52:45
1556	47.63	45.38	24.06	24.19	25.06	2014-05-30 11:53:45
1557	47.69	45.38	24.06	24.25	25.06	2014-05-30 11:54:45
1558	47.69	45.44	24.06	24.31	25.06	2014-05-30 11:55:45
1559	47.63	45.38	24.06	24.31	25.06	2014-05-30 11:56:45
1560	47.69	45.38	24.06	24.25	25.06	2014-05-30 11:57:45
1561	47.69	45.38	24.06	24.31	25.13	2014-05-30 11:58:45
1562	47.75	45.44	24.19	24.38	25.13	2014-05-30 11:59:46
1563	47.75	45.5	24.19	24.38	25.13	2014-05-30 12:00:46
1564	47.75	45.5	24.19	24.31	25.13	2014-05-30 12:01:46
1565	47.75	45.56	24.25	24.31	25.13	2014-05-30 12:02:46
1566	47.75	45.56	24.19	24.38	25.13	2014-05-30 12:03:46
1567	47.81	45.5	24.25	24.38	25.13	2014-05-30 12:04:46
1568	47.81	45.56	24.25	24.38	25.19	2014-05-30 12:05:46
1569	47.81	45.56	24.19	24.38	25.19	2014-05-30 12:06:47
1570	47.88	45.63	24.25	24.44	25.19	2014-05-30 12:07:47
1571	47.88	45.63	24.25	24.44	25.19	2014-05-30 12:08:47
1572	47.88	45.63	24.31	24.5	25.19	2014-05-30 12:09:47
1573	47.88	45.63	24.25	24.44	25.19	2014-05-30 12:10:47
1574	47.88	45.63	24.31	24.5	25.19	2014-05-30 12:11:47
1575	47.88	45.63	24.31	24.5	25.19	2014-05-30 12:12:48
1576	47.88	45.69	24.31	24.5	25.19	2014-05-30 12:13:48
1577	47.94	45.75	24.31	24.5	25.25	2014-05-30 12:14:48
1578	47.94	45.75	24.31	24.5	25.25	2014-05-30 12:15:48
1579	47.94	45.75	24.31	24.5	25.25	2014-05-30 12:16:48
1580	47.94	45.75	24.31	24.56	25.25	2014-05-30 12:17:48
1581	47.94	45.75	24.31	24.5	25.25	2014-05-30 12:18:48
1582	47.94	45.81	24.31	24.56	25.25	2014-05-30 12:19:49
1583	48	45.81	24.38	24.5	25.25	2014-05-30 12:20:49
1584	48.06	45.81	24.31	24.5	25.31	2014-05-30 12:21:49
1585	48.06	45.75	24.38	24.5	25.31	2014-05-30 12:22:49
1586	48.13	45.75	24.44	24.5	25.31	2014-05-30 12:23:49
1587	48.13	45.75	24.38	24.56	25.31	2014-05-30 12:24:49
1588	48.06	45.75	24.38	24.56	25.31	2014-05-30 12:25:49
1589	48.06	45.81	24.44	24.56	25.31	2014-05-30 12:26:50
1590	48.06	45.81	24.38	24.56	25.31	2014-05-30 12:27:50
1591	48.13	45.81	24.44	24.63	25.31	2014-05-30 12:28:50
1592	48.13	45.88	24.38	24.56	25.31	2014-05-30 12:29:50
1593	48.13	45.88	24.44	24.63	25.31	2014-05-30 12:30:50
1594	48.19	45.88	24.5	24.63	25.38	2014-05-30 12:31:50
1595	48.19	45.88	24.5	24.63	25.38	2014-05-30 12:32:51
1596	48.19	45.88	24.56	24.69	25.38	2014-05-30 12:33:51
1597	48.19	45.88	24.56	24.75	25.38	2014-05-30 12:34:51
1598	48.19	45.88	24.56	24.81	25.38	2014-05-30 12:35:51
1599	48.19	45.88	24.63	24.75	25.38	2014-05-30 12:36:51
1600	48.19	45.94	24.63	24.69	25.38	2014-05-30 12:37:51
1601	48.25	45.94	24.63	24.75	25.44	2014-05-30 12:38:51
1602	48.25	46	24.63	24.75	25.44	2014-05-30 12:39:52
1603	48.25	46	24.63	24.81	25.44	2014-05-30 12:40:52
1604	48.25	46	24.69	24.75	25.44	2014-05-30 12:41:52
1605	48.25	46.06	24.63	24.75	25.44	2014-05-30 12:42:52
1606	48.25	46.06	24.56	24.75	25.44	2014-05-30 12:43:52
1607	48.31	46.06	24.56	24.69	25.44	2014-05-30 12:44:52
1608	48.31	46.06	24.5	24.69	25.5	2014-05-30 12:45:53
1609	48.31	46.06	24.5	24.69	25.44	2014-05-30 12:46:53
1610	48.31	46.13	24.56	24.69	25.5	2014-05-30 12:47:53
1611	48.31	46.13	24.5	24.69	25.5	2014-05-30 12:48:53
1612	48.31	46.13	24.5	24.75	25.5	2014-05-30 12:49:53
1613	48.38	46.13	24.5	24.69	25.5	2014-05-30 12:50:53
1614	48.38	46.13	24.5	24.69	25.56	2014-05-30 12:51:54
1615	48.44	46.19	24.5	24.69	25.5	2014-05-30 12:52:54
1616	48.44	46.13	24.5	24.69	25.5	2014-05-30 12:53:54
1617	48.44	46.13	24.56	24.75	25.5	2014-05-30 12:54:54
1618	48.44	46.19	24.56	24.75	25.56	2014-05-30 12:55:54
1619	48.44	46.13	24.56	24.75	25.56	2014-05-30 12:56:54
1620	48.44	46.13	24.56	24.75	25.56	2014-05-30 12:57:54
1621	48.44	46.13	24.56	24.75	25.56	2014-05-30 12:58:55
1622	48.44	46.06	24.63	24.81	25.56	2014-05-30 12:59:55
1623	48.44	46.13	24.63	24.81	25.56	2014-05-30 13:00:55
1624	48.44	46.13	24.63	24.75	25.63	2014-05-30 13:01:55
1625	48.44	46.19	24.56	24.75	25.56	2014-05-30 13:02:55
1626	48.5	46.25	24.69	24.81	25.63	2014-05-30 13:03:55
1627	48.5	46.25	24.63	24.81	25.63	2014-05-30 13:04:56
1628	48.5	46.25	24.63	24.75	25.63	2014-05-30 13:05:56
1629	48.5	46.19	24.63	24.75	25.63	2014-05-30 13:06:56
1630	48.5	46.19	24.5	24.75	25.63	2014-05-30 13:07:56
1631	48.56	46.19	24.5	24.75	25.63	2014-05-30 13:08:56
1632	48.56	46.25	24.56	24.69	25.63	2014-05-30 13:09:56
1633	48.56	46.25	24.5	24.69	25.63	2014-05-30 13:10:57
1634	48.56	46.25	24.5	24.63	25.69	2014-05-30 13:11:57
1635	48.5	46.25	24.5	24.63	25.69	2014-05-30 13:12:57
1636	48.56	46.25	24.44	24.69	25.69	2014-05-30 13:13:57
1637	48.56	46.31	24.38	24.63	25.69	2014-05-30 13:14:57
1638	48.56	46.31	24.44	24.69	25.69	2014-05-30 13:15:57
1639	48.56	46.38	24.44	24.63	25.69	2014-05-30 13:16:58
1640	48.56	46.38	24.44	24.63	25.69	2014-05-30 13:17:58
1641	48.56	46.38	24.44	24.63	25.69	2014-05-30 13:18:58
1642	48.63	46.31	24.44	24.69	25.75	2014-05-30 13:19:58
1643	48.63	46.31	24.44	24.63	25.69	2014-05-30 13:20:58
1644	48.69	46.31	24.44	24.69	25.75	2014-05-30 13:21:58
1645	48.63	46.38	24.44	24.69	25.75	2014-05-30 13:22:59
1646	48.63	46.38	24.44	24.69	25.75	2014-05-30 13:23:59
1647	48.63	46.38	24.44	24.63	25.75	2014-05-30 13:24:59
1648	48.63	46.38	24.44	24.63	25.75	2014-05-30 13:25:59
1649	48.63	46.44	24.44	24.63	25.75	2014-05-30 13:26:59
1650	48.63	46.38	24.44	24.69	25.75	2014-05-30 13:27:59
1651	48.63	46.44	24.44	24.63	25.75	2014-05-30 13:28:59
1652	48.69	46.38	24.44	24.63	25.75	2014-05-30 13:30:00
1653	48.69	46.31	24.38	24.63	25.81	2014-05-30 13:31:00
1654	48.69	46.38	24.38	24.63	25.81	2014-05-30 13:32:00
1655	48.69	46.38	24.38	24.63	25.81	2014-05-30 13:33:00
1656	48.69	46.44	24.38	24.63	25.81	2014-05-30 13:34:00
1657	48.69	46.38	24.44	24.63	25.81	2014-05-30 13:35:00
1658	48.69	46.44	24.38	24.69	25.81	2014-05-30 13:36:01
1659	48.69	46.44	24.38	24.56	25.81	2014-05-30 13:37:01
1660	48.69	46.44	24.38	24.56	25.88	2014-05-30 13:38:01
1661	48.69	46.38	24.44	24.63	25.81	2014-05-30 13:39:01
1662	48.69	46.44	24.44	24.63	25.88	2014-05-30 13:40:01
1663	48.69	46.44	24.44	24.56	25.81	2014-05-30 13:41:01
1664	48.69	46.44	24.44	24.63	25.88	2014-05-30 13:42:01
1665	48.69	46.38	24.44	24.63	25.88	2014-05-30 13:43:02
1666	48.69	46.38	24.44	24.69	25.88	2014-05-30 13:44:02
1667	48.69	46.44	24.44	24.69	25.88	2014-05-30 13:45:02
1668	48.75	46.5	24.44	24.69	25.88	2014-05-30 13:46:02
1669	48.75	46.5	24.5	24.69	25.88	2014-05-30 13:47:02
1670	48.75	46.5	24.5	24.69	25.88	2014-05-30 13:48:02
1671	48.75	46.44	24.5	24.69	25.88	2014-05-30 13:49:03
1672	48.75	46.44	24.56	24.69	25.88	2014-05-30 13:50:03
1673	48.75	46.5	24.56	24.75	25.88	2014-05-30 13:51:03
1674	48.81	46.5	24.56	24.75	25.88	2014-05-30 13:52:03
1675	48.81	46.5	24.56	24.75	25.88	2014-05-30 13:53:03
1676	48.81	46.5	24.56	24.81	25.94	2014-05-30 13:54:03
1677	48.81	46.5	24.56	24.75	25.88	2014-05-30 13:55:04
1678	48.81	46.5	24.56	24.81	25.94	2014-05-30 13:56:04
1679	48.88	46.56	24.63	24.81	25.94	2014-05-30 13:57:04
1680	48.88	46.5	24.69	24.81	25.94	2014-05-30 13:58:04
1681	48.88	46.44	24.69	24.88	25.94	2014-05-30 13:59:04
1682	48.88	46.5	24.63	24.81	25.94	2014-05-30 14:00:04
1683	48.88	46.44	24.63	24.81	25.94	2014-05-30 14:01:04
