cod	c02	c04	tent	tsal	c03	fecha
1	39.38	36.94	26.25	26.25	33.06	2014-06-04 13:56:15
2	39.63	37.25	26.56	26.56	33.44	2014-06-04 14:24:19
3	39	36.81	26.63	26.63	33.5	2014-06-04 14:25:19
4	38.38	36.31	26.63	26.56	33.5	2014-06-04 14:26:20
5	37.88	35.94	26.63	26.63	33.44	2014-06-04 14:27:20
6	37.38	35.63	26.63	26.63	33.44	2014-06-04 14:28:21
7	37	35.31	26.63	26.63	33.44	2014-06-04 14:29:22
8	36.63	35.06	26.63	26.75	33.44	2014-06-04 14:30:22
9	36.38	34.81	26.56	27.13	33.44	2014-06-04 14:31:23
10	36.06	34.63	26.5	27.81	33.44	2014-06-04 14:32:24
11	35.81	34.44	26.44	28.56	33.38	2014-06-04 14:33:24
12	35.63	34.25	26.44	29.06	33.38	2014-06-04 14:34:25
13	35.44	34.13	26.44	29.38	33.38	2014-06-04 14:35:26
14	35.25	34	26.44	29.38	33.38	2014-06-04 14:36:26
15	35.06	33.94	26.44	29.38	33.38	2014-06-04 14:37:27
16	34.94	33.75	26.44	29.38	33.31	2014-06-04 14:38:28
17	34.75	33.63	26.5	29.44	33.31	2014-06-04 14:39:28
18	34.69	33.56	26.5	29.5	33.31	2014-06-04 14:40:29
19	34.5	33.5	26.5	29.56	33.25	2014-06-04 14:41:30
20	34.44	33.38	26.5	29.63	33.25	2014-06-04 14:42:30
21	34.25	33.31	26.5	29.63	33.19	2014-06-04 14:43:31
22	34.19	33.19	26.56	29.63	33.19	2014-06-04 14:44:32
23	34.06	33.13	26.56	29.56	33.13	2014-06-04 14:45:32
24	33.94	33.06	26.56	29.5	33.06	2014-06-04 14:46:33
25	33.88	33	26.56	29.56	33.06	2014-06-04 14:47:34
26	33.81	32.94	26.56	29.5	33	2014-06-04 14:48:34
27	33.69	32.88	26.63	29.56	32.94	2014-06-04 14:49:35
28	33.63	32.81	26.63	29.5	32.94	2014-06-04 14:50:36
29	33.56	32.75	26.63	29.5	32.94	2014-06-04 14:51:36
30	33.44	32.69	26.63	29.44	32.88	2014-06-04 14:52:37
31	33.38	32.63	26.63	29.44	32.81	2014-06-04 14:53:38
32	33.31	32.63	26.63	29.44	32.75	2014-06-04 14:54:38
33	33.25	32.56	26.63	29.5	32.75	2014-06-04 14:55:39
34	33.19	32.5	26.63	29.44	32.69	2014-06-04 14:56:40
35	33.13	32.44	26.63	29.44	32.69	2014-06-04 14:57:40
36	33.06	32.38	26.63	29.44	32.63	2014-06-04 14:58:41
37	33	32.38	26.69	29.44	32.56	2014-06-04 14:59:42
38	32.94	32.31	26.69	29.38	32.56	2014-06-04 15:00:42
39	32.88	32.25	26.69	29.38	32.5	2014-06-04 15:01:43
40	32.81	32.25	26.69	29.31	32.5	2014-06-04 15:02:44
41	32.75	32.19	26.69	29.31	32.44	2014-06-04 15:03:44
42	32.69	32.13	26.69	29.31	32.38	2014-06-04 15:04:45
43	32.63	32.06	26.69	29.31	32.31	2014-06-04 15:05:46
44	32.56	32.06	26.69	29.31	32.31	2014-06-04 15:06:46
45	32.5	32	26.69	29.31	32.25	2014-06-04 15:07:47
46	32.5	32	26.69	29.25	32.25	2014-06-04 15:08:48
47	32.44	31.94	26.69	29.25	32.19	2014-06-04 15:09:48
48	32.38	31.88	26.75	29.19	32.13	2014-06-04 15:10:49
49	32.31	31.88	26.75	29.19	32.13	2014-06-04 15:11:50
50	32.31	31.81	26.75	29.19	32.06	2014-06-04 15:12:50
51	32.25	31.75	26.75	29.19	32.06	2014-06-04 15:13:51
52	32.19	31.75	26.75	29.06	32	2014-06-04 15:14:52
53	32.19	31.69	26.69	29.06	32	2014-06-04 15:15:52
54	32.06	31.69	26.75	29	31.94	2014-06-04 15:16:53
55	32.06	31.63	26.75	29	31.88	2014-06-04 15:17:54
56	32	31.56	26.69	29	31.88	2014-06-04 15:18:54
57	31.94	31.56	26.69	29	31.81	2014-06-04 15:19:55
58	31.94	31.5	26.69	29	31.81	2014-06-04 15:20:56
