cod	c02	c04	tent	tsal	c03	fecha
1	25.81	25.75	27.56	27.5	25.81	2014-06-11 16:08:34
2	25.81	25.75	27.56	27.5	25.75	2014-06-11 16:09:34
3	25.81	25.75	27.56	27.5	25.75	2014-06-11 16:10:33
4	25.81	25.75	27.63	27.5	25.81	2014-06-11 16:11:33
5	25.88	25.75	27.63	27.56	25.81	2014-06-11 16:12:33
6	25.88	25.75	27.63	27.5	25.81	2014-06-11 16:13:33
7	25.88	25.81	27.63	27.56	25.81	2014-06-11 16:14:32
8	25.88	25.81	27.63	27.56	25.81	2014-06-11 16:15:32
9	25.88	25.81	27.63	27.56	25.81	2014-06-11 16:16:32
10	25.88	25.81	27.69	27.56	25.81	2014-06-11 16:17:32
11	25.88	25.81	27.69	27.63	25.81	2014-06-11 16:18:31
12	25.88	25.81	27.69	27.63	25.88	2014-06-11 16:19:31
13	25.94	25.81	27.69	27.56	25.88	2014-06-11 16:20:31
14	25.94	25.81	27.75	27.63	25.88	2014-06-11 16:21:31
15	25.94	25.88	27.75	27.63	25.88	2014-06-11 16:22:30
16	25.94	25.81	27.75	27.63	25.88	2014-06-11 16:23:30
17	25.94	25.88	27.75	27.63	25.88	2014-06-11 16:24:30
18	25.94	25.88	27.75	27.63	25.88	2014-06-11 16:25:30
19	25.94	25.88	27.75	27.63	25.88	2014-06-11 16:26:29
20	25.94	25.88	27.69	27.63	25.88	2014-06-11 16:27:29
21	25.94	25.88	27.75	27.63	25.94	2014-06-11 16:28:29
22	26	25.88	27.75	27.63	25.88	2014-06-11 16:29:29
23	26	25.88	27.75	27.69	25.94	2014-06-11 16:30:28
24	26	25.88	27.75	27.69	25.94	2014-06-11 16:31:28
25	26	25.88	27.81	27.69	25.94	2014-06-11 16:32:28
26	26	25.94	27.75	27.69	25.94	2014-06-11 16:33:28
27	26	25.94	27.81	27.69	25.94	2014-06-11 16:34:27
28	26	25.94	27.81	27.69	26	2014-06-11 16:35:27
29	26	25.94	27.81	27.75	26	2014-06-11 16:36:27
30	26	25.94	27.81	27.75	26	2014-06-11 16:37:26
31	26.06	25.94	27.81	27.75	26	2014-06-11 16:38:26
32	26.06	25.94	27.81	27.75	26	2014-06-11 16:39:26
33	26.06	26	27.81	27.75	26	2014-06-11 16:40:26
34	26.06	25.94	27.88	27.75	26	2014-06-11 16:41:25
35	26.06	25.94	27.88	27.75	26	2014-06-11 16:42:25
36	26.06	26	27.88	27.75	26	2014-06-11 16:43:25
37	26.06	26	27.88	27.81	26	2014-06-11 16:44:25
38	26.06	26	27.88	27.81	26	2014-06-11 16:45:24
39	26.13	26	27.94	27.81	26.06	2014-06-11 16:46:24
40	26.06	26	27.94	27.81	26.06	2014-06-11 16:47:24
41	26.13	26	27.94	27.81	26.06	2014-06-11 16:48:24
42	26.13	26.06	27.94	27.81	26.06	2014-06-11 16:49:23
43	26.13	26	27.94	27.88	26.06	2014-06-11 16:50:23
44	26.13	26.06	27.94	27.88	26.06	2014-06-11 16:51:23
45	26.13	26.06	27.94	27.88	26.06	2014-06-11 16:52:23
46	26.13	26.06	28	27.88	26.06	2014-06-11 16:53:22
47	26.13	26.06	28	27.94	26.13	2014-06-11 16:54:22
48	26.13	26.06	28	27.88	26.06	2014-06-11 16:55:22
49	26.13	26.06	28	27.88	26.13	2014-06-11 16:56:21
50	26.19	26.06	28	27.94	26.13	2014-06-11 16:57:21
51	26.19	26.06	28	27.94	26.13	2014-06-11 16:58:21
52	26.19	26.06	28	27.94	26.13	2014-06-11 16:59:21
53	26.19	26.13	28	27.94	26.13	2014-06-11 17:00:20
54	26.19	26.13	28.06	27.94	26.13	2014-06-11 17:01:20
55	26.19	26.13	28.06	27.94	26.13	2014-06-11 17:02:20
56	26.19	26.13	28.06	28	26.19	2014-06-11 17:03:20
57	26.19	26.13	28.06	27.94	26.13	2014-06-11 17:04:19
58	26.25	26.13	28.06	28	26.13	2014-06-11 17:05:19
59	26.25	26.13	28.06	28	26.19	2014-06-11 17:06:19
60	26.25	26.13	28.06	28	26.19	2014-06-11 17:07:19
61	26.25	26.13	28.06	28	26.19	2014-06-11 17:08:18
62	26.25	26.13	28.06	28	26.19	2014-06-11 17:09:18
63	26.25	26.19	28.06	28	26.19	2014-06-11 17:10:18
64	26.25	26.19	28.06	28	26.19	2014-06-11 17:11:18
65	26.25	26.19	28.06	28	26.19	2014-06-11 17:12:17
66	26.31	26.19	28.06	28	26.19	2014-06-11 17:13:17
67	26.31	26.19	28.06	28.06	26.25	2014-06-11 17:14:17
68	26.31	26.19	28.13	28	26.25	2014-06-11 17:15:17
69	26.31	26.19	28.13	28	26.25	2014-06-11 17:16:16
70	26.31	26.19	28.13	28.06	26.25	2014-06-11 17:17:16
71	26.31	26.25	28.13	28	26.25	2014-06-11 17:18:16
72	26.31	26.25	28.13	28	26.25	2014-06-11 17:19:15
73	26.31	26.25	28.13	28	26.25	2014-06-11 17:20:15
74	26.31	26.25	28.13	28	26.31	2014-06-11 17:21:15
75	26.31	26.25	28.13	28	26.25	2014-06-11 17:22:15
76	26.31	26.25	28.13	28.06	26.31	2014-06-11 17:23:14
77	26.38	26.25	28.13	28.06	26.31	2014-06-11 17:24:14
78	26.38	26.25	28.13	28.06	26.31	2014-06-11 17:25:14
79	26.38	26.25	28.13	28.06	26.31	2014-06-11 17:26:14
80	26.38	26.31	28.13	28.06	26.31	2014-06-11 17:27:13
81	26.38	26.25	28.13	28.06	26.31	2014-06-11 17:28:13
82	26.38	26.31	28.13	28.06	26.31	2014-06-11 17:29:13
83	26.38	26.25	28.13	28.06	26.31	2014-06-11 17:30:13
84	26.38	26.31	28.13	28.06	26.31	2014-06-11 17:31:12
85	26.38	26.31	28.19	28.06	26.38	2014-06-11 17:32:12
86	26.38	26.31	28.19	28.13	26.31	2014-06-11 17:33:12
87	26.38	26.31	28.19	28.13	26.38	2014-06-11 17:34:12
88	26.38	26.31	28.19	28.13	26.38	2014-06-11 17:35:11
89	26.44	26.31	28.19	28.13	26.38	2014-06-11 17:36:11
90	26.44	26.31	28.19	28.13	26.38	2014-06-11 17:37:11
91	26.44	26.38	28.19	28.13	26.38	2014-06-11 17:38:10
92	26.44	26.38	28.19	28.19	26.38	2014-06-11 17:39:10
93	26.44	26.38	28.19	28.13	26.38	2014-06-11 17:40:10
94	26.5	26.31	28.19	28.13	26.38	2014-06-11 17:41:10
95	26.44	26.38	28.19	28.13	26.38	2014-06-11 17:42:09
96	26.5	26.38	28.19	28.13	26.44	2014-06-11 17:43:09
97	26.5	26.38	28.19	28.13	26.44	2014-06-11 17:44:09
98	26.5	26.38	28.19	28.13	26.44	2014-06-11 17:45:09
99	26.5	26.38	28.25	28.19	26.44	2014-06-11 17:46:08
100	26.5	26.38	28.25	28.19	26.44	2014-06-11 17:47:08
101	26.5	26.44	28.25	28.19	26.44	2014-06-11 17:48:08
102	26.5	26.38	28.25	28.19	26.44	2014-06-11 17:49:08
103	27	26.44	28.31	28.25	26.44	2014-06-11 17:50:07
104	26.13	26.38	28.38	28.31	26.44	2014-06-11 17:51:07
